22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,27
28,29,86,86,78,86,86,86,86,86,86,78,78,78,78,78,78,78,54,55
56,109,109,86,86,86,86,78,78,78,78,86,86,86,86,86,86,86,82,83
56,86,78,78,78,78,78,78,86,86,86,109,109,86,86,86,108,109,110,111
56,86,78,78,86,86,86,78,78,86,78,78,86,86,86,86,86,78,86,139
56,86,78,86,109,109,226,86,86,78,78,86,86,109,109,78,78,78,86,223
56,86,78,78,86,86,86,86,78,78,78,78,78,86,86,86,86,86,86,223
56,86,86,78,86,86,78,78,78,86,86,86,86,78,78,86,109,109,86,223
56,86,86,78,86,78,78,86,86,86,86,86,86,86,78,78,86,86,86,223
56,86,86,78,78,86,86,86,109,109,109,109,109,109,109,78,78,86,86,251
56,86,86,78,86,86,86,86,86,86,86,86,86,86,86,86,78,86,86,279
56,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,78,86,251
56,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,251
56,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,251
22,22,22,22,22,22,22,22,15,15,15,22,22,22,22,22,22,22,22,22
